Recent day,1871,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
All time,,,,,,,,,,,,,,,,,,
Started day,Name,Total days,Finished,Unfinished,Success rate,Not attend,Attendance,Completion rate,Average In when finished,In 1,In 2,In 3,In 4,In 5,In 6,Lowest In,Victories,Average diff from lowest
1651,morrelo,221,200,6,"97,09%",15,"93,21%","90,50%","4,24",0,0,45,80,58,17,3,86,"0,82"
1651,Koli,221,203,14,"93,55%",4,"98,19%","91,86%","4,29",0,6,37,72,68,20,2,76,"0,91"
1652,Ika,220,162,17,"90,50%",41,"81,36%","73,64%","4,48",0,3,26,59,38,36,2,58,"1,06"
1651,Simon,221,186,7,"96,37%",28,"87,33%","84,16%","4,04",0,6,48,76,44,12,2,98,"0,65"
1721,Michael,151,136,9,"93,79%",6,"96,03%","90,07%","4,35",0,1,26,49,44,16,2,51,"0,99"
1808,Jirka,64,11,1,"91,67%",52,"18,75%","17,19%","4,82",0,0,0,5,3,3,4,2,"1,55"
,,,,,,,,,,,,,,,,,,
Last 30 days,,,,,,,,,,,,,,,,,,
Started day,Name,Total days,Finished,Unfinished,Success rate,Not attend,Attendance,Completion rate,Average In when finished,In 1,In 2,In 3,In 4,In 5,In 6,Lowest In,Victories,Average diff from lowest
1842,morrelo,30,29,0,"100,00%",1,"96,67%","96,67%","4,17",0,0,9,10,6,4,3,12,"1,00"
1842,Koli,30,27,1,"96,43%",2,"93,33%","90,00%","4,19",0,0,7,11,6,3,3,7,"1,00"
1842,Ika,30,18,0,"100,00%",12,"60,00%","60,00%","4,33",0,1,3,7,3,4,2,5,"1,17"
1842,Simon,30,26,2,"92,86%",2,"93,33%","86,67%","3,96",0,2,9,6,6,3,2,14,"0,85"
1842,Michael,30,29,0,"100,00%",1,"96,67%","96,67%","4,03",0,1,8,11,7,2,2,13,"0,86"
,,,,,,,,,,,,,,,,,,
August 2026,1869,1899,,,,,,,,,,,,,,,,
Started day,Name,Total days,Finished,Unfinished,Success rate,Not attend,Attendance,Completion rate,Average In when finished,In 1,In 2,In 3,In 4,In 5,In 6,Lowest In,Victories,Average diff from lowest
1869,morrelo,3,2,0,"100,00%",1,"66,67%","66,67%","3,50",0,0,1,1,0,0,3,1,"0,50"
1869,Koli,3,2,0,"100,00%",1,"66,67%","66,67%","4,00",0,0,0,2,0,0,4,0,"1,00"
1869,Ika,3,0,0,,3,"0,00%","0,00%",,0,0,0,0,0,0,,0,
1869,Simon,3,2,0,"100,00%",1,"66,67%","66,67%","3,00",0,0,2,0,0,0,3,2,"0,00"
1869,Michael,3,3,0,"100,00%",0,"100,00%","100,00%","4,67",0,0,1,0,1,1,3,1,"1,67"
